timestamp_ist,event_type,mode,transaction_type,tradingsymbol,qty,source,side,reason,order_id,status,exchange,product,variety,market_protection,expiry,expiry_preference,workflow_mode,spot,vix,portfolio_delta,mtm_total,notes
2026-05-08T10:21:31.005570,broker_order,LIVE,SELL,NIFTY2651224600CE,65,wave,CE,rm_forced_ce_dte_4,2052612334903812096,submitted,NFO,NRML,regular,-1,2026-05-12,current,weekly,24215.45,17.06,0.8177446967983856,-3269.5001300000004,
2026-05-08T10:23:55.026785,broker_order,LIVE,SELL,NIFTY2651224600CE,65,wave,CE,strategy,2052612938971668480,submitted,NFO,NRML,regular,-1,2026-05-12,current,weekly,24230.25,17.05,-0.25290432734060264,-2860.0001300000004,
2026-05-08T12:10:02.586242,broker_order,LIVE,SELL,NIFTY2651223850PE,65,wave,PE,strategy,2052639646433075200,submitted,NFO,NRML,regular,-1,2026-05-12,current,weekly,24174.95,17.11,-0.17523665241575237,2687.749869999999,
2026-05-08T12:45:07.370237,broker_order,LIVE,SELL,NIFTY2651224500CE,65,wave,CE,rm_forced_ce_dte_4,2052648474537025536,submitted,NFO,NRML,regular,-1,2026-05-12,current,weekly,24159.75,17.22,1.0024090484217623,1420.2498700000017,
2026-05-08T13:59:03.033305,broker_order,LIVE,SELL,NIFTY2651224500CE,65,wave,CE,rm_forced_ce_dte_4,2052667079056089088,submitted,NFO,NRML,regular,-1,2026-05-12,current,weekly,24144.95,17.1,0.965686440506268,5056.999870000002,
2026-05-08T14:01:48.614272,broker_order,LIVE,SELL,NIFTY2651224500CE,65,wave,CE,rm_forced_ce_dte_4,2052667773544751104,submitted,NFO,NRML,regular,-1,2026-05-12,current,weekly,24130.05,17.27,0.8337031104712813,1277.2498700000015,
2026-05-08T15:15:00.213843,broker_order_error,LIVE,SELL,NIFTY2651224000PE,325,power_hour_rebalance,PE,power_hour_sell_pe_delta=-1.434,,error,NFO,NRML,regular,-1,2026-05-12,current,weekly,24180.05,16.81,-1.4341560074679869,16886.999870000003,Invalid tags: max allowed tag length is 20
2026-05-08T15:15:00.562167,broker_order_error,LIVE,SELL,NIFTY2651224000PE,325,power_hour_rebalance,PE,power_hour_sell_pe_delta=-1.434,,error,NFO,NRML,regular,-1,2026-05-12,current,weekly,24180.85,16.81,-1.4341560074679869,16886.999870000003,Invalid tags: max allowed tag length is 20
2026-05-08T15:15:00.784943,broker_order_error,LIVE,SELL,NIFTY2651224000PE,325,power_hour_rebalance,PE,power_hour_sell_pe_delta=-1.433,,error,NFO,NRML,regular,-1,2026-05-12,current,weekly,24180.85,16.81,-1.4331075291789825,16886.999870000003,Invalid tags: max allowed tag length is 20
2026-05-08T15:15:01.031218,broker_order_error,LIVE,SELL,NIFTY2651224000PE,325,power_hour_rebalance,PE,power_hour_sell_pe_delta=-1.433,,error,NFO,NRML,regular,-1,2026-05-12,current,weekly,24180.85,16.81,-1.4331075291789825,16886.999870000003,Invalid tags: max allowed tag length is 20
2026-05-08T15:15:01.313022,broker_order_error,LIVE,SELL,NIFTY2651224000PE,325,power_hour_rebalance,PE,power_hour_sell_pe_delta=-1.433,,error,NFO,NRML,regular,-1,2026-05-12,current,weekly,24180.85,16.81,-1.4331075291789825,16886.999870000003,Invalid tags: max allowed tag length is 20
2026-05-08T15:15:01.834548,broker_order_error,LIVE,SELL,NIFTY2651224000PE,325,power_hour_rebalance,PE,power_hour_sell_pe_delta=-1.433,,error,NFO,NRML,regular,-1,2026-05-12,current,weekly,24180.6,16.81,-1.4331075291789825,16886.999870000003,Invalid tags: max allowed tag length is 20
2026-05-08T15:15:02.518998,broker_order_error,LIVE,SELL,NIFTY2651224000PE,325,power_hour_rebalance,PE,power_hour_sell_pe_delta=-1.433,,error,NFO,NRML,regular,-1,2026-05-12,current,weekly,24180.6,16.81,-1.4331075291789825,16886.999870000003,Invalid tags: max allowed tag length is 20
2026-05-08T15:15:03.073861,broker_order_error,LIVE,SELL,NIFTY2651224000PE,325,power_hour_rebalance,PE,power_hour_sell_pe_delta=-1.433,,error,NFO,NRML,regular,-1,2026-05-12,current,weekly,24180.6,16.81,-1.4331075291789825,16886.999870000003,Invalid tags: max allowed tag length is 20
2026-05-08T15:15:03.316565,broker_order_error,LIVE,SELL,NIFTY2651224000PE,325,power_hour_rebalance,PE,power_hour_sell_pe_delta=-1.433,,error,NFO,NRML,regular,-1,2026-05-12,current,weekly,24179.7,16.81,-1.4331075291789825,16886.999870000003,Invalid tags: max allowed tag length is 20
